Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Amount (EUR),Warehouse,Order Status,Lead Time (Days),Carrier
65,65,Male,Training Shorts,Footwear,Cologne,S,Green,Fall,4.8,Yes,Store Pickup,Yes,Yes,18,PayPal,Fortnightly,76.36,Hamburg DC,Delivered,2,Store
66,65,Male,Adilette Slides,Accessories,Hamburg,M,Purple,Spring,4.8,Yes,DPD Classic,Yes,Yes,44,Mastercard,Every 3 Months,33.12,Nuremberg DC,Returned,5,DPD
67,31,Male,Stan Smith Sneakers,Clothing,Leipzig,S,Magenta,Winter,4.7,Yes,DHL Standard,Yes,Yes,3,Klarna,Every 3 Months,86.48,Leipzig DC,In Transit,3,DHL
68,45,Male,Running T-Shirt,Outerwear,Dusseldorf,L,Gray,Winter,4.4,Yes,DPD Classic,Yes,Yes,49,Klarna,Monthly,30.36,Nuremberg DC,Returned,1,DPD
69,57,Male,Gym Bag,Accessories,Berlin,L,Silver,Summer,3.9,Yes,DPD Classic,Yes,Yes,21,SEPA Direct Debit,Every 3 Months,42.32,Leipzig DC,In Transit,3,DPD
70,48,Male,Tiro Pants,Accessories,Nuremberg,S,Cyan,Summer,4.4,Yes,GLS Parcel,Yes,Yes,5,PayPal,Weekly,64.4,Nuremberg DC,Processing,6,GLS
71,22,Male,Adilette Slides,Accessories,Cologne,M,Magenta,Fall,4.2,Yes,Hermes Standard,Yes,Yes,32,Klarna,Every 3 Months,26.68,Nuremberg DC,Delivered,5,Hermes
72,36,Male,Track Jacket,Clothing,Augsburg,L,Gold,Summer,2.9,Yes,DPD Classic,Yes,Yes,34,Apple Pay,Annually,44.16,Herzogenaurach DC,Returned,6,DPD
73,18,Male,Tiro Pants,Clothing,Nuremberg,M,Olive,Winter,2.9,Yes,DPD Classic,Yes,Yes,21,Klarna,Every 3 Months,23.92,Leipzig DC,Processing,4,DPD
74,48,Male,Gym Bag,Clothing,Stuttgart,M,Teal,Spring,2.7,Yes,Hermes Standard,Yes,Yes,43,PayPal,Bi-Weekly,78.2,Leipzig DC,Delivered,1,Hermes
75,49,Male,Sports Socks,Accessories,Herzogenaurach,L,Violet,Spring,4.5,Yes,DPD Classic,Yes,Yes,3,Klarna,Monthly,53.36,Leipzig DC,Processing,6,DPD
76,64,Male,Sports Socks,Accessories,Stuttgart,M,Blue,Summer,2.7,Yes,DHL Standard,Yes,Yes,21,Klarna,Annually,78.2,Nuremberg DC,In Transit,5,DHL
77,50,Male,Hoodie,Accessories,Dresden,S,Teal,Summer,4.2,Yes,DHL Express,Yes,Yes,32,SEPA Direct Debit,Monthly,39.56,Herzogenaurach DC,Returned,6,DHL
78,22,Male,Adilette Slides,Clothing,Leipzig,L,Gold,Summer,3.3,Yes,DHL Express,Yes,Yes,36,Mastercard,Fortnightly,48.76,Nuremberg DC,Delivered,3,DHL
79,50,Male,Track Jacket,Clothing,Hanover,M,Maroon,Spring,4.7,Yes,DHL Standard,Yes,Yes,50,SEPA Direct Debit,Fortnightly,83.72,Hamburg DC,Delivered,3,DHL
80,38,Male,Hoodie,Outerwear,Augsburg,M,Olive,Winter,2.6,Yes,Hermes Standard,Yes,Yes,43,Apple Pay,Every 3 Months,88.32,Nuremberg DC,Processing,4,Hermes
81,19,Male,Training Shorts,Footwear,Munich,XL,Blue,Summer,,Yes,DHL Standard,Yes,Yes,24,Google Pay,Every 3 Months,66.24,Nuremberg DC,Processing,2,DHL
82,67,Male,Adilette Slides,Footwear,Herzogenaurach,L,Maroon,Summer,2.6,Yes,DPD Classic,Yes,Yes,36,SEPA Direct Debit,Every 3 Months,88.32,Leipzig DC,Delivered,6,DPD
83,19,Male,Stan Smith Sneakers,Clothing,Bremen,S,Olive,Spring,4.0,Yes,Store Pickup,Yes,Yes,21,Visa,Every 3 Months,25.76,Nuremberg DC,In Transit,6,Store
84,36,Male,Football Jersey,Clothing,Leipzig,M,Turquoise,Summer,4.1,Yes,Hermes Standard,Yes,Yes,34,Apple Pay,Weekly,36.8,Leipzig DC,Delivered,2,Hermes
85,52,Male,Ultraboost Shoes,Outerwear,Cologne,S,Peach,Spring,4.4,Yes,DHL Standard,Yes,Yes,42,SEPA Direct Debit,Every 3 Months,29.44,Herzogenaurach DC,In Transit,1,DHL
86,53,Male,Tiro Pants,Accessories,Augsburg,M,Charcoal,Winter,4.5,Yes,GLS Parcel,Yes,Yes,2,SEPA Direct Debit,Bi-Weekly,87.4,Hamburg DC,Returned,4,GLS
87,24,Male,Football Jersey,Clothing,Nuremberg,L,Pink,Spring,3.7,Yes,DPD Classic,Yes,Yes,47,Klarna,Bi-Weekly,37.72,Hamburg DC,Processing,6,DPD
88,52,Male,Sports Socks,Footwear,Leipzig,M,Green,Fall,3.7,Yes,Hermes Standard,Yes,Yes,44,Mastercard,Fortnightly,48.76,Nuremberg DC,Returned,1,Hermes
89,33,Male,Running T-Shirt,Clothing,Nuremberg,M,Orange,Fall,3.5,Yes,Hermes Standard,Yes,Yes,35,SEPA Direct Debit,Monthly,43.24,Leipzig DC,In Transit,5,Hermes
90,47,Male,Stan Smith Sneakers,Outerwear,Hanover,XL,Pink,Fall,3.6,Yes,Hermes Standard,Yes,Yes,15,SEPA Direct Debit,Quarterly,76.36,Leipzig DC,Processing,4,Hermes
91,25,Male,Tiro Pants,Accessories,Stuttgart,L,Violet,Summer,2.9,Yes,Store Pickup,Yes,Yes,29,Google Pay,Monthly,44.16,Leipzig DC,Processing,5,Store
92,44,Male,Adilette Slides,Accessories,Berlin,S,Green,Winter,4.6,Yes,DHL Standard,Yes,Yes,18,Visa,Every 3 Months,91.08,Leipzig DC,Processing,6,DHL
93,61,Male,Running T-Shirt,Outerwear,Hamburg,M,Olive,Winter,4.4,Yes,GLS Parcel,Yes,Yes,13,Mastercard,Every 3 Months,80.04,Leipzig DC,Processing,3,GLS
94,37,Male,Football Jersey,Clothing,Bremen,M,Purple,Fall,4.5,Yes,Hermes Standard,Yes,Yes,46,SEPA Direct Debit,Weekly,57.04,Nuremberg DC,In Transit,3,Hermes
95,58,Male,Hoodie,Clothing,Nuremberg,S,Silver,Spring,4.6,Yes,Hermes Standard,Yes,Yes,28,Apple Pay,Weekly,69.92,Leipzig DC,In Transit,1,Hermes
96,37,Male,Training Shorts,Footwear,Hamburg,L,Pink,Fall,3.8,Yes,DHL Standard,Yes,Yes,48,Mastercard,Monthly,92.0,Herzogenaurach DC,Processing,3,DHL
97,32,Male,Adilette Slides,Accessories,Herzogenaurach,S,Gold,Spring,,Yes,DPD Classic,Yes,Yes,43,SEPA Direct Debit,Every 3 Months,67.16,Herzogenaurach DC,Processing,7,DPD
98,21,Male,Adilette Slides,Footwear,Hamburg,M,Teal,Winter,4.8,Yes,Hermes Standard,Yes,Yes,37,Mastercard,Annually,84.64,Nuremberg DC,Processing,7,Hermes
99,20,Male,Sports Socks,Clothing,Dresden,XL,Teal,Spring,2.6,Yes,Hermes Standard,Yes,Yes,20,PayPal,Annually,61.64,Nuremberg DC,Processing,2,Hermes
100,26,Male,Track Jacket,Clothing,Hamburg,XL,Indigo,Summer,3.7,Yes,Store Pickup,Yes,Yes,33,Mastercard,Quarterly,36.8,Hamburg DC,Delivered,5,Store
101,62,Male,Gym Bag,Accessories,Bremen,M,Maroon,Fall,2.7,Yes,DHL Standard,Yes,Yes,31,PayPal,Fortnightly,90.16,Herzogenaurach DC,Processing,4,DHL
102,27,Male,Backpack,Outerwear,Berlin,XL,White,Spring,4.6,Yes,DHL Express,Yes,Yes,50,Klarna,Bi-Weekly,78.2,Nuremberg DC,In Transit,3,DHL
103,51,Male,Football Jersey,Clothing,Frankfurt,L,Violet,Winter,4.8,Yes,Hermes Standard,Yes,Yes,35,Apple Pay,Quarterly,61.64,Leipzig DC,In Transit,5,Hermes
104,54,Male,Hoodie,Footwear,Leipzig,L,Red,Winter,4.0,Yes,DHL Express,Yes,Yes,22,Google Pay,Bi-Weekly,81.88,Leipzig DC,In Transit,2,DHL
105,55,Male,Backpack,Accessories,Stuttgart,L,Pink,Spring,4.4,Yes,GLS Parcel,Yes,Yes,1,Mastercard,Monthly,22.08,Nuremberg DC,In Transit,1,GLS
106,69,Male,Stan Smith Sneakers,Accessories,Augsburg,M,Charcoal,Fall,3.6,Yes,DHL Standard,Yes,Yes,4,Mastercard,Annually,88.32,Nuremberg DC,Delivered,6,DHL
107,64,Male,Ultraboost Shoes,Outerwear,Dusseldorf,L,White,Summer,3.7,Yes,DPD Classic,Yes,Yes,31,Klarna,Monthly,32.2,Herzogenaurach DC,In Transit,5,DPD
108,28,Male,Football Jersey,Footwear,Erlangen,L,Olive,Winter,3.1,Yes,DHL Express,Yes,Yes,46,Mastercard,Fortnightly,61.64,Hamburg DC,Processing,3,DHL
109,70,Male,Ultraboost Shoes,Clothing,Dusseldorf,L,Purple,Spring,3.4,Yes,DPD Classic,Yes,Yes,32,Klarna,Bi-Weekly,72.68,Leipzig DC,Processing,6,DPD
110,58,Male,Football Jersey,Clothing,Erlangen,M,Violet,Spring,2.6,Yes,DPD Classic,Yes,Yes,43,Visa,Fortnightly,78.2,Nuremberg DC,Returned,7,DPD
111,56,Male,Backpack,Accessories,Berlin,M,Black,Summer,4.0,Yes,Store Pickup,Yes,Yes,26,PayPal,Fortnightly,23.92,Herzogenaurach DC,Delivered,6,Store
112,26,Male,Tiro Pants,Accessories,Hanover,L,Purple,Summer,5.0,Yes,Hermes Standard,Yes,Yes,9,Google Pay,Annually,69.0,Hamburg DC,In Transit,2,Hermes
113,37,Male,Ultraboost Shoes,Accessories,Bremen,M,Red,Spring,4.3,Yes,GLS Parcel,Yes,Yes,28,Apple Pay,Bi-Weekly,59.8,Nuremberg DC,Returned,4,GLS
114,44,Male,Adilette Slides,Accessories,Munich,L,Maroon,Winter,3.1,Yes,GLS Parcel,Yes,Yes,20,Google Pay,Quarterly,49.68,Nuremberg DC,In Transit,6,GLS
115,70,Male,Adilette Slides,Outerwear,Erlangen,S,Blue,Summer,3.7,Yes,DHL Standard,Yes,Yes,9,Klarna,Weekly,87.4,Herzogenaurach DC,Returned,6,DHL
116,53,Male,Training Shorts,Clothing,Cologne,M,Gray,Spring,3.8,Yes,GLS Parcel,Yes,Yes,48,Google Pay,Every 3 Months,86.48,Nuremberg DC,In Transit,4,GLS
117,55,Male,Ultraboost Shoes,Footwear,Leipzig,S,Blue,Spring,3.4,Yes,DHL Standard,Yes,Yes,12,SEPA Direct Debit,Annually,79.12,Nuremberg DC,Returned,7,DHL
118,50,Male,Hoodie,Footwear,Munich,L,Yellow,Summer,4.6,Yes,DHL Express,Yes,Yes,29,Mastercard,Fortnightly,29.44,Nuremberg DC,Delivered,7,DHL
119,50,Male,Sports Socks,Clothing,Bremen,L,Orange,Fall,4.8,Yes,GLS Parcel,Yes,Yes,27,PayPal,Bi-Weekly,41.4,Herzogenaurach DC,Returned,6,GLS
120,38,Male,Backpack,Outerwear,Hamburg,M,Orange,Fall,4.3,Yes,Store Pickup,Yes,Yes,44,Google Pay,Annually,69.92,Leipzig DC,Returned,4,Store
121,64,Male,Sports Socks,Accessories,Dresden,L,Red,Summer,4.0,Yes,DHL Standard,Yes,Yes,32,Google Pay,Annually,77.28,Herzogenaurach DC,Delivered,5,DHL
122,19,Male,Training Shorts,Clothing,Erlangen,M,Olive,Winter,4.2,Yes,DHL Express,Yes,Yes,11,Google Pay,Fortnightly,66.24,Hamburg DC,Returned,6,DHL
123,40,Male,Adilette Slides,Accessories,Stuttgart,L,Brown,Spring,4.8,Yes,GLS Parcel,Yes,Yes,44,Google Pay,Fortnightly,36.8,Leipzig DC,Processing,5,GLS
124,57,Male,Running T-Shirt,Clothing,Herzogenaurach,L,Brown,Fall,3.1,Yes,Store Pickup,Yes,Yes,46,Klarna,Weekly,81.88,Leipzig DC,Returned,6,Store
125,44,Male,Tiro Pants,Clothing,Bremen,M,Gray,Spring,3.1,Yes,Hermes Standard,Yes,Yes,50,Visa,Annually,79.12,Nuremberg DC,In Transit,5,Hermes
126,49,Male,Stan Smith Sneakers,Clothing,Herzogenaurach,M,Indigo,Winter,3.6,Yes,Store Pickup,Yes,Yes,45,Klarna,Every 3 Months,49.68,Leipzig DC,Processing,4,Store
127,43,Male,Running T-Shirt,Clothing,Bremen,L,Pink,Spring,3.9,Yes,DHL Standard,Yes,Yes,48,SEPA Direct Debit,Every 3 Months,33.12,Hamburg DC,Processing,6,DHL
128,24,Male,Tiro Pants,Clothing,Dresden,M,Gray,Winter,4.8,Yes,GLS Parcel,Yes,Yes,26,PayPal,Weekly,81.88,Herzogenaurach DC,Delivered,6,GLS
129,20,Male,Running T-Shirt,Accessories,Dusseldorf,M,Gold,Spring,4.7,Yes,DPD Classic,Yes,Yes,21,Visa,Fortnightly,29.44,Hamburg DC,Returned,2,DPD
130,24,Male,Hoodie,Clothing,Munich,XL,Olive,Summer,4.2,Yes,DHL Express,Yes,Yes,49,SEPA Direct Debit,Bi-Weekly,61.64,Herzogenaurach DC,Returned,6,DHL
131,44,Male,Training Shorts,Accessories,Stuttgart,L,Violet,Fall,3.7,Yes,DHL Express,Yes,Yes,13,Google Pay,Fortnightly,35.88,Leipzig DC,Processing,6,DHL
132,28,Male,Tiro Pants,Clothing,Erlangen,L,Indigo,Summer,3.9,Yes,DHL Standard,Yes,Yes,46,SEPA Direct Debit,Weekly,26.68,Hamburg DC,In Transit,1,DHL
133,30,Male,Track Jacket,Accessories,Munich,M,Orange,Fall,4.7,Yes,GLS Parcel,Yes,Yes,42,Klarna,Weekly,53.36,Herzogenaurach DC,Delivered,5,GLS
134,52,Male,Football Jersey,Clothing,Stuttgart,M,Violet,Winter,2.5,Yes,DHL Express,Yes,Yes,25,Google Pay,Annually,59.8,Hamburg DC,Delivered,3,DHL
135,43,Male,Adilette Slides,Accessories,Munich,L,Gray,Fall,4.9,Yes,Hermes Standard,Yes,Yes,25,SEPA Direct Debit,Monthly,86.48,Herzogenaurach DC,Returned,1,Hermes
136,43,Male,Gym Bag,Footwear,Leipzig,M,Purple,Fall,4.1,Yes,DHL Express,Yes,Yes,12,PayPal,Quarterly,74.52,Herzogenaurach DC,In Transit,3,DHL
137,39,Male,Football Jersey,Clothing,Munich,M,White,Winter,3.3,Yes,DHL Express,Yes,Yes,4,Google Pay,Quarterly,79.12,Herzogenaurach DC,Returned,2,DHL
138,68,Male,Stan Smith Sneakers,Footwear,Herzogenaurach,M,Turquoise,Spring,4.7,Yes,Store Pickup,Yes,Yes,38,SEPA Direct Debit,Weekly,39.56,Hamburg DC,Delivered,2,Store
139,68,Male,Sports Socks,Clothing,Hamburg,M,Maroon,Winter,4.4,Yes,GLS Parcel,Yes,Yes,42,Klarna,Weekly,26.68,Nuremberg DC,Delivered,6,GLS
140,49,Male,Tiro Pants,Outerwear,Hamburg,M,White,Fall,3.8,Yes,GLS Parcel,Yes,Yes,30,Mastercard,Annually,87.4,Herzogenaurach DC,Returned,4,GLS
